,consumption,year,minaddress,maxaddress,minweek,maxweek,minweekday,maxweekday,mintime,maxtime,orig_pid,orig_address,orig_year,orig_week,orig_weekday,orig_time,delta,k,beta,tau,mu,l,dp,tkc,norm_il,tuple_count,cluster_label
0,237.536656891496,2014.0,10553109870.0,10558101067.0,46.0,46.0,1.0,1.0,0.0,0.0,190.0,10557107078.0,2014.0,46.0,1.0,0.0,10,10,200000,0.0,100000,1,False,50,,17,512
1,19.9146514935989,2014.0,10553109870.0,10558101067.0,46.0,46.0,1.0,1.0,0.0,0.0,2.0,10557107834.0,2014.0,46.0,1.0,0.0,10,10,200000,0.0,100000,1,False,50,,17,512
2,45.8071625344353,2014.0,10553109870.0,10558101067.0,46.0,46.0,1.0,1.0,0.0,0.0,237.0,10557102951.0,2014.0,46.0,1.0,0.0,10,10,200000,0.0,100000,1,False,50,,17,512
3,382.207578253707,2014.0,10553109870.0,10558101067.0,46.0,46.0,1.0,1.0,0.0,0.0,98.0,10557101360.0,2014.0,46.0,1.0,0.0,10,10,200000,0.0,100000,1,False,50,,17,512
4,69.6167883211679,2014.0,10553109870.0,10558101067.0,46.0,46.0,1.0,1.0,0.0,0.0,256.0,10556110574.0,2014.0,46.0,1.0,0.0,10,10,200000,0.0,100000,1,False,50,,17,512
5,102.5,2014.0,10553109870.0,10558101067.0,46.0,46.0,1.0,1.0,0.0,0.0,236.0,10558101067.0,2014.0,46.0,1.0,0.0,10,10,200000,0.0,100000,1,False,50,,17,512
6,37.6107298814722,2014.0,10553109870.0,10558101067.0,46.0,46.0,1.0,1.0,0.0,0.0,156.0,10555104769.0,2014.0,46.0,1.0,0.0,10,10,200000,0.0,100000,1,False,50,,17,512
7,260.252365930599,2014.0,10553109870.0,10558101067.0,46.0,46.0,1.0,1.0,0.0,0.0,189.0,10554106152.0,2014.0,46.0,1.0,0.0,10,10,200000,0.0,100000,1,False,50,,17,512
8,76.6721044045677,2014.0,10553109870.0,10558101067.0,46.0,46.0,1.0,1.0,0.0,0.0,58.0,10554101829.0,2014.0,46.0,1.0,0.0,10,10,200000,0.0,100000,1,False,50,,17,512
9,12810.8108108108,2014.0,10553109870.0,10558101067.0,46.0,46.0,1.0,1.0,0.0,0.0,370.0,10553109870.0,2014.0,46.0,1.0,0.0,10,10,200000,0.0,100000,1,False,50,,17,512
10,248.855633802817,2014.0,10551103245.0,10558106828.0,46.0,46.0,1.0,1.0,0.0,0.0,324.0,10551103771.0,2014.0,46.0,1.0,0.0,10,10,200000,0.7133036818794003,100000,1,False,50,,21,212
11,302.349336057201,2014.0,10551103245.0,10558106828.0,46.0,46.0,1.0,1.0,0.0,0.0,148.0,10552107459.0,2014.0,46.0,1.0,0.0,10,10,200000,0.7133036818794003,100000,1,False,50,,21,212
